"respondent","sex","birth_year","city_size","employment","workplace","profession","addtl_income","education","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","next_election","future_vote","attitude_Kopacz","hh_finances","future_finances","politics_interest","political_views","past_election","past_vote","religious_participation","marital_status","monthly_income","DATE","weight","married","ed_level","urban_rural","mean_income","future_vote_agg","past_vote_agg","policies_improve_economic","Satisfied_democracy","Attitude_Americans","Attitude_English","Attitude_Austrians","Attitude_French","Attitude_Greeks","Attitude_Spaniards","Attitude_Japanese","Attitude_Germans","Attitude_Russians","Attitude_Swiss","Relations_Germany","Relations_Russia","Residence","Length_residence","LD","survey_month","after_shock","Nov_Dec_issue","new_Nov","new_Jan","treatment","gov_intervene","proposal_support","FXloan","repayFXloan","loan_type1","loan_type2","loan_type3","loan_type4","loan_EUR","loan_CHF","loan_USD","loan_currency1","loan_currency2","loan_currency3","loan_currency4","know_FXborrower","parliament_election","parliament_vote","province","monthly_incPC","parliament_vote_agg","chfd_r","chfd_e","new_Oct15","month","monthyear","monthyear2","past.vote","vote.intent","turnout.intent","know_FXborrower_original","incumbent.intent","past.turnout","past.incumbent","incumbent.defector","employed","treat","immigration.outofcontrol","immigration.crime","immigration.takejobs","immigration.uneasy","immigration.disease","immigration.loyalty","immigration.worse","immigration.loyalty2","immigration.culture"
"5870",29,1,1941,5,4,NA,13,3,4,1,1,2,3,3,3,7,NA,NA,4,3,3,3,5,1,1,4,3,31,2015-10-08,0.779270907327552,0,2,3,1650,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Slaskie","From PLN 1,400 to 1,999",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5871",30,1,1980,5,4,NA,14,2,4,3,2,1,2,2,7,2,NA,NA,2,1,4,2,4,1,7,5,1,0,2015-10-08,0.924748817457248,0,2,3,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Slaskie","Up to PLN 649",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5872",33,1,1981,5,1,1,4,3,9,2,2,7,3,3,2,2,NA,NA,2,4,4,3,4,2,NA,4,1,21,2015-10-08,1.39506827425596,0,4,3,1200,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie",NA,NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5873",34,2,1936,1,4,NA,12,3,1,1,1,1,7,2,7,2,NA,NA,4,4,4,5,97,1,97,2,4,11,2015-10-08,1.14206333508728,0,1,1,500,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Don’t know/not sure","Mazowieckie","From PLN 650 to 999",3,0,0,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","No","No","Yes","No","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5874",36,1,1953,1,4,NA,13,3,8,2,2,7,3,3,2,3,NA,NA,4,5,3,2,5,1,1,4,2,41,2015-10-08,0.653744499939362,1,2,1,2250,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Big intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","PiS","Podkarpackie","From PLN 1,400 to 1,999",1,0,1,1,"Oct",Oct 2015,2015-10-01,"PiS","PiS","Yes","Yes","No","Yes","No","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5875",41,2,1953,1,4,NA,13,3,2,3,3,7,7,3,3,2,NA,NA,2.5,5,3,3,2,2,NA,2,4,21,2015-10-08,0.883709100290973,0,1,1,1200,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Big intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Podkarpackie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No","No","No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5876",42,1,1970,1,1,3,6,3,7,5,5,1,3,3,3,3,NA,NA,2,4,3,4,5,7,NA,2,2,51,2015-10-08,0.740429276810364,1,2,1,2600,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Podkarpackie","From PLN 1,000 to 1,399",2,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","No","Yes",NA,"No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5877",46,1,1957,5,1,2,7,3,4,7,4,7,3,2,5,3,NA,NA,4,5,5,5,97,2,NA,5,2,51,2015-10-08,0.747072503229124,1,2,3,2600,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Kujawsko-pomorskie","2,000 PLN and more",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5878",49,2,1984,1,3,3,9,2,11,2,2,7,7,7,3,7,NA,NA,4,4,3,3,4,1,7,4,1,41,2015-10-08,1.34752075553564,0,4,1,2250,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie","From PLN 650 to 999",NA,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP",NA,NA,"No",NA,"Yes","Yes",NA,"TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5879",53,1,1943,5,4,NA,13,3,11,2,2,1,2,2,2,2,NA,NA,3,4,3,2,97,1,1,2,2,7,2015-10-08,0.678729821058091,1,4,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Don’t know/not sure","Slaskie","Don’t know",3,0,0,1,"Oct",Oct 2015,2015-10-01,"PiS","other","Yes","No","No","Yes","No","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5880",54,2,1974,5,4,NA,15,3,5,5,2,2,3,2,7,3,NA,NA,2.5,5,4,5,97,2,NA,4,2,0,2015-10-08,1.1450112239754,1,3,3,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Not sure/don’t know","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Slaskie","Don’t know",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5881",56,2,1991,1,1,3,4,3,10,3,3,2,3,4,3,3,NA,NA,2.5,5,3,5,97,2,NA,3,1,21,2015-10-08,0.562192202652259,0,4,1,1200,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Big intervention"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I don’t know yet whether I will participate or not",NA,"Kujawsko-pomorskie","Up to PLN 649",NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,NA,"No",NA,"No","No",NA,"TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5882",60,2,1956,3,1,2,1,3,6,2,2,1,7,2,5,7,NA,NA,2,5,3,3,4,1,7,4,2,51,2015-10-08,0.763298167452057,1,3,2,2600,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Mazowieckie","2,000 PLN and more",2,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","Yes","Yes","Yes","Yes","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5883",61,1,1940,3,4,NA,13,3,4,2,2,2,3,4,4,5,NA,NA,3,3,3,3,4,1,7,2,2,31,2015-10-08,0.996380365317924,1,2,2,1650,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Big intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","po","Mazowieckie","From PLN 1,400 to 1,999",2,0,0,1,"Oct",Oct 2015,2015-10-01,"PORP","PORP","Yes","No","Yes","Yes","Yes","No","FALSE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5884",80,2,1980,1,4,NA,14,3,4,4,2,2,3,5,3,2,NA,NA,2,3,3,3,1,2,NA,1,2,0,2015-10-08,0.598887963855451,1,2,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Podkarpackie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No","No","No","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5885",81,2,1994,1,4,NA,11,2,6,4,3,2,4,5,4,5,NA,NA,2.5,5,3,4,3,9,NA,2,1,51,2015-10-08,0.684043411549415,0,3,1,2600,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","po","Podkarpackie","2,000 PLN and more",2,0,1,1,"Oct",Oct 2015,2015-10-01,NA,"PORP","Yes","Yes","Yes","No",NA,NA,"FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5886",83,2,1964,4,1,3,10,3,6,3,3,2,3,3,4,3,NA,NA,4,3,2,3,4,1,97,4,2,21,2015-10-08,0.789477135831935,1,3,2,1200,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Not sure/don’t know","Proposal B, where banks pay 90% and borrowers 10% of the costs","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I don’t know yet whether I will participate or not",NA,"Wielkopolskie","From PLN 1,000 to 1,399",NA,0,1,1,"Oct",Oct 2015,2015-10-01,"other",NA,NA,"Yes",NA,"Yes","No",NA,"TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5887",85,1,1959,4,1,3,3,3,8,5,4,2,5,2,5,4,NA,NA,2.5,3,3,3,4,1,3,2,2,NA,2015-10-08,0.632755692508982,1,2,2,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I don’t know yet whether I will participate or not",NA,"Wielkopolskie",NA,NA,0,1,1,"Oct",Oct 2015,2015-10-01,"other",NA,NA,"Yes",NA,"Yes","No",NA,"TRUE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5888",90,1,1956,2,1,1,6,3,2,2,2,2,3,3,3,3,NA,NA,3,4,3,2,7,1,7,4,2,31,2015-10-08,1.1206049422012,1,1,2,1650,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Don’t know/not sure","Kujawsko-pomorskie","From PLN 650 to 999",3,0,1,1,"Oct",Oct 2015,2015-10-01,"PORP","other","Yes","Yes","No","Yes","Yes","Yes","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5889",91,2,1980,2,1,4,9,2,4,4,2,7,3,3,7,4,NA,NA,2,3,2,3,4,7,NA,2,2,7,2015-10-08,1.45680656451636,1,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Kujawsko-pomorskie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No",NA,"No","No","TRUE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5890",92,2,1944,2,4,NA,13,3,2,2,2,1,1,2,2,2,NA,NA,1,5,3,1,7,1,97,1,4,NA,2015-10-08,1.02734445392603,0,1,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 3","Not sure/don’t know","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Kujawsko-pomorskie",NA,1,0,0,1,"Oct",Oct 2015,2015-10-01,"other","PiS","Yes","No","No","Yes","No","No","FALSE","history",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5891",106,1,1965,1,4,NA,12,3,4,3,3,1,3,4,5,5,NA,NA,1,3,3,3,4,2,NA,3,1,NA,2015-10-08,1.49248584323862,0,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Do not intervene","The government should do nothing, meaning the mortgage borrowers bear all the costs.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly not take part in it",NA,"Lubelskie",NA,NA,0,0,1,"Oct",Oct 2015,2015-10-01,NA,NA,"No","No","No","No","No","No","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5892",107,2,1968,1,1,2,5,2,4,5,3,7,3,3,3,2,NA,NA,2.5,3,3,4,3,7,NA,2,2,31,2015-10-08,1.01815777645895,1,2,1,1650,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 1","Some intervention","The government should something but I do not support either Proposal A or Proposal B","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","PiS","Lubelskie","Up to PLN 649",1,0,0,1,"Oct",Oct 2015,2015-10-01,NA,"PiS","Yes","No","No",NA,"No","No","TRUE","info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5893",112,2,1946,1,4,NA,13,3,9,1,1,7,7,3,7,3,NA,NA,2.5,3,3,2,1,1,5,3,4,31,2015-10-08,0.699157332061297,0,4,1,1650,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Treatment 2","Some intervention","Proposal A, where the cost is equally split between banks and borrowers","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","I will certainly take part in it","Zjednoczona Lewica","Lubelskie","From PLN 1,400 to 1,999",3,0,1,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","Yes","No","Yes","Yes","Yes","FALSE","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5894",113,2,1950,3,4,NA,13,3,6,2,2,1,2,7,3,2,NA,NA,2,3,3,5,3,1,3,5,2,31,2015-10-08,1.23734556693174,1,3,2,1650,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,"Control","Not sure/don’t know"," Don’t know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","I will certainly take part in it","Zjednoczona Lewica","Dolnoslaskie","2,000 PLN and more",3,0,0,1,"Oct",Oct 2015,2015-10-01,"other","other","Yes","No","No","Yes","No","No","FALSE","cntrl",NA,NA,NA,NA,NA,NA,NA,NA,NA
